player,nation,position,age,matches_played,starts,minutes,90s_played,goals,assists,goals_and_assists,non_pk_goals,pks_scored,pks_attempted,yellow_cards,red_cards,xG,npxG,xAG,npxG_plus_xAG,progressive_carries,progressive_passes,progressive_passes_received,goals_per_90,assists_per_90,goals_and_assists_per_90,non_pk_goals_per_90,npG_and_assists_per_90,xG_per_90,xAG_per_90,xG_plus_xAG_per_90,npxG_per_90,npxG_plus_xAG_per_90
Mohamed Salah,EGY,FW,32,38,38,3371.0,37.5,29.0,18.0,47.0,20.0,9.0,9.0,1.0,0.0,25.2,18.2,14.2,32.4,154.0,144.0,488.0,0.77,0.48,1.25,0.53,1.01,0.67,0.38,1.05,0.49,0.87
Virgil van Dijk,NED,DF,33,37,37,3330.0,37.0,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,2.2,2.2,0.7,3.0,22.0,198.0,6.0,0.08,0.03,0.11,0.08,0.11,0.06,0.02,0.08,0.06,0.08
Ryan Gravenberch,NED,MF,22,37,37,3160.0,35.1,0.0,4.0,4.0,0.0,0.0,0.0,6.0,1.0,1.1,1.1,3.1,4.2,70.0,181.0,55.0,0.0,0.11,0.11,0.0,0.11,0.03,0.09,0.12,0.03,0.12
Alexis Mac Allister,ARG,MF,25,35,30,2599.0,28.9,5.0,5.0,10.0,5.0,0.0,0.0,6.0,0.0,2.8,2.8,4.7,7.5,36.0,177.0,80.0,0.17,0.17,0.35,0.17,0.35,0.1,0.16,0.26,0.1,0.26
Ibrahima Konaté,FRA,DF,25,31,30,2560.0,28.4,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,1.7,1.7,1.0,2.7,25.0,115.0,3.0,0.04,0.07,0.11,0.04,0.11,0.06,0.03,0.1,0.06,0.1
Dominik Szoboszlai,HUN,MF,23,36,29,2491.0,27.7,6.0,6.0,12.0,6.0,0.0,0.0,6.0,0.0,7.3,7.3,7.4,14.7,72.0,131.0,127.0,0.22,0.22,0.43,0.22,0.43,0.27,0.27,0.53,0.27,0.53
Andrew Robertson,SCO,DF,30,33,29,2482.0,27.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.2,1.2,4.6,5.8,64.0,176.0,108.0,0.0,0.04,0.04,0.0,0.04,0.04,0.17,0.21,0.04,0.21
Alisson,BRA,GK,31,28,28,2508.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Luis Díaz,COL,FW,27,36,28,2399.0,26.7,13.0,5.0,18.0,13.0,0.0,0.0,2.0,0.0,12.0,12.0,5.0,17.1,108.0,110.0,293.0,0.49,0.19,0.68,0.49,0.68,0.45,0.19,0.64,0.45,0.64
Trent Alexander-Arnold,ENG,DF,25,33,28,2365.0,26.3,3.0,6.0,9.0,3.0,0.0,0.0,5.0,0.0,1.9,1.9,7.3,9.2,51.0,232.0,94.0,0.11,0.23,0.34,0.11,0.34,0.07,0.28,0.35,0.07,0.35
Cody Gakpo,NED,FW,25,35,23,1935.0,21.5,10.0,4.0,14.0,10.0,0.0,0.0,5.0,0.0,7.1,7.1,4.4,11.5,59.0,52.0,278.0,0.47,0.19,0.65,0.47,0.65,0.33,0.2,0.53,0.33,0.53
Curtis Jones,ENG,"MF,DF",23,33,19,1712.0,19.0,3.0,3.0,6.0,3.0,0.0,0.0,3.0,1.0,4.3,4.3,1.1,5.4,30.0,117.0,79.0,0.16,0.16,0.32,0.16,0.32,0.23,0.06,0.29,0.23,0.29
Diogo Jota,POR,FW,27,26,14,1196.0,13.3,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,7.9,7.9,1.8,9.8,37.0,34.0,88.0,0.45,0.23,0.68,0.45,0.68,0.6,0.14,0.74,0.6,0.74
Caoimhín Kelleher,IRL,GK,25,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kostas Tsimikas,GRE,DF,28,18,9,837.0,9.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,2.1,2.5,17.0,76.0,43.0,0.0,0.11,0.11,0.0,0.11,0.04,0.23,0.27,0.04,0.27
Darwin Núñez,URU,FW,25,30,8,1133.0,12.6,5.0,2.0,7.0,5.0,0.0,0.0,8.0,0.0,5.8,5.8,1.3,7.1,23.0,27.0,78.0,0.4,0.16,0.56,0.4,0.56,0.46,0.1,0.57,0.46,0.57
Conor Bradley,NIR,DF,21,19,7,754.0,8.4,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,1.4,2.1,35.0,33.0,39.0,0.0,0.24,0.24,0.0,0.24,0.08,0.17,0.25,0.08,0.25
Joe Gomez,ENG,DF,27,9,6,519.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,5.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08
Jarell Quansah,ENG,DF,21,13,4,495.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,3.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04
Harvey Elliott,ENG,MF,21,18,2,371.0,4.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.8,1.8,1.1,2.8,10.0,44.0,30.0,0.24,0.49,0.73,0.24,0.73,0.43,0.26,0.69,0.43,0.69
Wataru Endo,JPN,"MF,DF",31,20,1,273.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Federico Chiesa,ITA,FW,26,6,1,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,3.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.28,0.15,0.43,0.28,0.43
Vitezslav Jaros,CZE,GK,23,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jayden Danns,ENG,MF,18,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harvey Davies,ENG,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
James McConnell,ENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Morton,ENG,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amara Nallo,ENG,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Nyoni,ENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,27,38,418,3420.0,38.0,85.0,65.0,150.0,76.0,9.0,9.0,67.0,3.0,82.2,75.2,61.6,136.8,825.0,1924.0,1910.0,2.24,1.71,3.95,2.0,3.71,2.16,1.62,3.78,1.98,3.6
Opponent Total,,,26,38,418,3420.0,38.0,39.0,28.0,67.0,38.0,1.0,2.0,84.0,2.0,38.6,36.9,29.4,66.2,683.0,1091.0,1074.0,1.03,0.74,1.76,1.0,1.74,1.02,0.77,1.79,0.97,1.74
